Date,ABBOTINDIA.NS,ACC.NS,ADANIENSOL.NS,ADANIGREEN.NS,ADANIPORTS.NS,ALKEM.NS,AMBUJACEM.NS,ASIANPAINT.NS,AUROPHARMA.NS,DMART.NS,AXISBANK.NS,BAJAJ-AUTO.NS,BAJFINANCE.NS,BAJAJHLDNG.NS,BANDHANBNK.NS,BANKBARODA.NS,BERGEPAINT.NS,BHARTIARTL.NS,BIOCON.NS,BOSCHLTD.NS,BPCL.NS,BRITANNIA.NS,CIPLA.NS,COALINDIA.NS,COLPAL.NS,CONCOR.NS,DABUR.NS,DIVISLAB.NS,DLF.NS,DRREDDY.NS,EICHERMOT.NS,GAIL.NS,GICRE.NS,GODREJCP.NS,GRASIM.NS,HAVELLS.NS,HCLTECH.NS,HDFCAMC.NS,HDFCBANK.NS,HDFCLIFE.NS,HEROMOTOCO.NS,HINDALCO.NS,HINDUNILVR.NS,HINDZINC.NS,HINDPETRO.NS,ICICIBANK.NS,ICICIGI.NS,ICICIPRULI.NS,IGL.NS,INDUSTOWER.NS,INDUSINDBK.NS,NAUKRI.NS,INFY.NS,INDIGO.NS,IOC.NS,ITC.NS,JSWSTEEL.NS,KOTAKBANK.NS,LT.NS,LTIM.NS,LUPIN.NS,M&M.NS,MARICO.NS,MARUTI.NS,MUTHOOTFIN.NS,NESTLEIND.NS,NMDC.NS,NTPC.NS,OFSS.NS,ONGC.NS,PGHH.NS,PETRONET.NS,PIDILITIND.NS,PEL.NS,PNB.NS,PFC.NS,POWERGRID.NS,RELIANCE.NS,MOTHERSON.NS,SBIN.NS,SBICARD.NS,SBILIFE.NS,SHREECEM.NS,SIEMENS.NS,SUNPHARMA.NS,TATACONSUM.NS,TATAMOTORS.NS,TCS.NS,TECHM.NS,TITAN.NS,TORNTPHARM.NS,ULTRACEMCO.NS,UBL.NS,MCDOWELL-N.NS,UPL.NS,WIPRO.NS,ZYDUSLIFE.NS
2023-01-02,21436.900390625,2439.75,,1888.699951171875,822.2999877929688,3001.14990234375,526.5,3047.25,434.7999877929688,4072.75,941.5999755859376,3573.949951171875,6553.75,5607.14990234375,240.1499938964844,186.25,481.0833435058594,813.5,263.3999938964844,17169.650390625,333.8500061035156,4292.14990234375,1070.949951171875,224.75,1520.1500244140625,740.25,561.5499877929688,3372.64990234375,380.1499938964844,4235.0498046875,3228.85009765625,96.5999984741211,187.8000030517578,893.5,1731.300048828125,1100.5999755859375,1039.449951171875,2190.050048828125,1628.699951171875,570.2999877929688,2715.89990234375,487.0499877929688,2558.39990234375,325.1000061035156,237.1000061035156,902.4500122070312,1241.3499755859375,452.3999938964844,419.1000061035156,189.9499969482422,1226.3499755859375,3911.5,1524.0,2042.75,78.0,332.8500061035156,775.2999877929688,1825.050048828125,2089.449951171875,4322.10009765625,732.8499755859375,1262.8499755859375,506.25,8403.2998046875,1091.699951171875,19561.55078125,126.0500030517578,168.0,3024.0,150.4499969482422,14273.2998046875,216.60000610351562,2530.0,837.6500244140625,57.150001525878906,119.76000213623047,161.28750610351562,2575.89990234375,75.69999694824219,612.2000122070312,794.8499755859375,1240.050048828125,23454.69921875,2828.35009765625,997.0,762.2999877929688,394.79998779296875,3261.449951171875,1009.5,2565.75,1548.800048828125,7017.9501953125,1686.699951171875,869.7000122070312,722.0,393.04998779296875,420.1000061035156
2023-01-03,21680.849609375,2442.699951171875,,1892.949951171875,820.4500122070312,3028.800048828125,530.9500122070312,3028.25,441.2999877929688,4060.89990234375,962.2999877929688,3601.699951171875,6606.25,5660.5,240.5500030517578,187.5,482.5416564941406,817.5999755859375,263.3999938964844,17133.75,336.8500061035156,4241.85009765625,1075.9000244140625,224.1000061035156,1517.3499755859375,744.0,560.8499755859375,3393.0,380.0499877929688,4238.35009765625,3213.449951171875,96.8000030517578,196.3000030517578,892.75,1717.050048828125,1127.949951171875,1041.3499755859375,2189.64990234375,1639.3499755859375,595.5999755859375,2720.39990234375,479.8999938964844,2542.050048828125,331.6499938964844,237.6999969482422,901.3499755859376,1267.5999755859375,468.8500061035156,419.2999877929688,189.6999969482422,1240.949951171875,3917.0,1522.550048828125,2040.949951171875,78.5,331.1000061035156,767.9000244140625,1832.8499755859373,2088.949951171875,4349.14990234375,737.9500122070312,1249.300048828125,510.6000061035156,8382.75,1087.25,19727.30078125,125.5999984741211,167.60000610351562,2999.550048828125,149.5500030517578,13933.0498046875,216.10000610351562,2537.0,840.7000122070312,57.79999923706055,124.80000305175781,161.6999969482422,2557.050048828125,76.05000305175781,612.4000244140625,792.4000244140625,1268.4000244140625,23732.94921875,2837.449951171875,1009.0999755859375,767.1500244140625,393.8999938964844,3311.35009765625,1023.7999877929688,2613.60009765625,1544.75,6993.60009765625,1669.800048828125,865.0499877929688,719.3499755859375,397.04998779296875,424.6499938964844
2023-01-04,21937.30078125,2409.300048828125,,1860.5,810.0,3024.949951171875,518.8499755859375,3016.85009765625,441.2000122070313,3924.199951171875,957.4500122070312,3552.85009765625,6571.0,5718.14990234375,240.1000061035156,182.6999969482422,478.0416564941406,811.7999877929688,260.8500061035156,16857.400390625,336.29998779296875,4235.0,1066.9000244140625,217.1499938964844,1512.449951171875,730.2999877929688,559.8499755859375,3435.550048828125,371.8500061035156,4253.5,3215.25,95.4000015258789,201.0500030517578,888.7000122070312,1690.300048828125,1148.75,1036.5999755859375,2181.0,1610.050048828125,598.5999755859375,2709.300048828125,461.5,2536.10009765625,332.04998779296875,241.0,899.0999755859375,1249.1500244140625,468.75,417.1000061035156,185.3500061035156,1223.0999755859375,3827.050048828125,1494.800048828125,2003.0999755859373,78.0999984741211,327.0,736.2999877929688,1820.75,2070.550048828125,4277.9501953125,734.5999755859375,1236.199951171875,506.1499938964844,8422.7998046875,1090.050048828125,19519.900390625,121.5999984741211,166.60000610351562,3014.39990234375,146.25,14050.7998046875,216.5500030517578,2510.949951171875,815.9500122070312,56.25,123.5999984741211,158.28750610351562,2518.550048828125,74.80000305175781,605.2000122070312,784.0,1259.050048828125,24007.55078125,2815.449951171875,1004.0999755859375,762.25,385.6000061035156,3314.64990234375,1020.2999877929688,2597.550048828125,1548.0,7005.35009765625,1679.550048828125,851.4500122070312,715.6500244140625,389.70001220703125,423.8500061035156
2023-01-05,22105.150390625,2440.199951171875,,1860.0,819.5999755859375,3043.050048828125,524.75,3004.35009765625,443.8999938964844,3857.800048828125,949.5499877929688,3621.14990234375,6100.0498046875,5687.60009765625,240.5,184.0500030517578,477.5,807.0999755859375,260.20001220703125,17006.69921875,342.3500061035156,4313.2001953125,1088.3499755859375,218.1499938964844,1524.949951171875,740.9500122070312,572.75,3461.85009765625,372.75,4297.5,3257.699951171875,97.3499984741211,195.3000030517578,916.5,1698.300048828125,1167.0999755859375,1044.0999755859375,2199.39990234375,1599.699951171875,609.4500122070312,2767.14990234375,465.7000122070313,2583.699951171875,337.70001220703125,245.9499969482422,879.1500244140625,1277.0,471.7000122070313,421.6000061035156,186.4499969482422,1215.8499755859375,3718.949951171875,1475.199951171875,2037.550048828125,79.0999984741211,333.45001220703125,750.7000122070312,1820.300048828125,2087.35009765625,4260.2001953125,742.8499755859375,1252.6500244140625,515.5,8461.099609375,1081.75,19776.0,121.8499984741211,169.89999389648438,3006.85009765625,146.5,14110.2998046875,220.5,2518.10009765625,804.1500244140625,56.75,125.5199966430664,156.60000610351562,2514.050048828125,75.5,605.0999755859375,779.5499877929688,1267.6500244140625,24238.0,2895.199951171875,1016.2000122070312,763.8499755859375,386.8999938964844,3311.10009765625,1011.6500244140625,2562.10009765625,1561.25,7007.0,1680.75,850.2000122070312,720.2999877929688,386.8999938964844,432.29998779296875
2023-01-06,22328.05078125,2415.949951171875,,1838.25,806.0999755859375,3031.35009765625,519.7999877929688,2978.39990234375,442.0499877929688,3842.5,939.9000244140624,3642.25,5980.39990234375,5680.25,242.3500061035156,183.25,473.6666564941406,796.0,256.3500061035156,17065.69921875,344.70001220703125,4359.0498046875,1076.3499755859375,214.25,1516.699951171875,736.4500122070312,552.8499755859375,3434.89990234375,369.75,4271.75,3250.60009765625,97.25,180.75,917.4500122070312,1680.5999755859375,1192.5,1032.800048828125,2135.39990234375,1594.4000244140625,611.6500244140625,2742.550048828125,462.6499938964844,2576.449951171875,332.79998779296875,249.8999938964844,870.0999755859375,1271.699951171875,473.0,416.8500061035156,187.3500061035156,1181.9000244140625,3687.050048828125,1448.5,2020.0,80.05000305175781,335.04998779296875,728.3499755859375,1786.800048828125,2086.550048828125,4197.60009765625,738.0999755859375,1264.9000244140625,513.0499877929688,8383.0498046875,1072.25,19885.25,121.8000030517578,169.0,2996.300048828125,147.35000610351562,14020.0498046875,217.89999389648438,2522.300048828125,798.0,56.400001525878906,125.72000122070312,156.0749969482422,2536.89990234375,75.30000305175781,600.6500244140625,774.2000122070312,1269.050048828125,23853.05078125,2891.699951171875,1008.7000122070312,761.3499755859375,382.0,3211.550048828125,986.1500244140625,2538.10009765625,1546.5,6982.2001953125,1657.550048828125,856.5,718.1500244140625,382.0,430.70001220703125
2023-01-09,22263.099609375,2464.64990234375,,1891.449951171875,816.6500244140625,3049.89990234375,524.75,2984.14990234375,441.5499877929688,3879.550048828125,958.75,3620.75,5993.35009765625,5838.7998046875,247.25,185.1499938964844,473.875,819.4000244140625,256.79998779296875,17221.30078125,346.75,4364.2998046875,1087.449951171875,214.9499969482422,1534.9000244140625,747.2000122070312,549.5499877929688,3459.5,373.9500122070313,4334.0,3262.550048828125,98.4499969482422,186.3500061035156,908.0999755859376,1673.5999755859375,1186.449951171875,1067.449951171875,2172.10009765625,1597.5,608.4500122070312,2752.35009765625,470.75,2624.050048828125,338.70001220703125,245.1499938964844,873.3499755859375,1260.699951171875,466.6499938964844,422.6000061035156,185.8500061035156,1218.6500244140625,3671.300048828125,1484.449951171875,2024.199951171875,80.0999984741211,338.04998779296875,742.3499755859375,1811.9000244140625,2121.699951171875,4295.25,749.8499755859375,1310.3499755859375,514.9500122070312,8377.0,1076.8499755859375,20085.69921875,123.6999969482422,170.39999389648438,3006.800048828125,148.14999389648438,14054.7001953125,219.3000030517578,2552.35009765625,808.1500244140625,57.099998474121094,127.44000244140625,156.8249969482422,2596.800048828125,76.94999694824219,607.7000122070312,782.0999755859375,1306.3499755859375,23752.30078125,2903.64990234375,1016.8499755859375,766.9500122070312,389.45001220703125,3319.949951171875,1015.25,2484.64990234375,1561.5,7034.85009765625,1661.75,863.0999755859375,734.2000122070312,391.79998779296875,444.04998779296875
2023-01-10,22056.30078125,2418.949951171875,,1895.199951171875,796.4000244140625,3079.5,514.4500122070312,2960.35009765625,450.0,3877.39990234375,952.1500244140624,3574.199951171875,5904.14990234375,5859.5,246.0500030517578,180.6999969482422,472.375,792.8499755859375,257.8999938964844,17405.69921875,347.3500061035156,4326.85009765625,1078.699951171875,216.75,1499.8499755859375,722.0999755859375,554.5999755859375,3501.85009765625,373.0499877929688,4288.7001953125,3167.550048828125,98.0999984741211,179.89999389648438,911.6500244140624,1651.0,1181.5999755859375,1063.8499755859375,2143.050048828125,1568.300048828125,600.2000122070312,2712.050048828125,477.5499877929688,2643.85009765625,343.70001220703125,249.1999969482422,861.3499755859375,1241.699951171875,465.6499938964844,426.4500122070313,183.1999969482422,1227.550048828125,3687.14990234375,1469.75,2044.1500244140625,80.5999984741211,333.3999938964844,745.2000122070312,1795.550048828125,2106.64990234375,4231.60009765625,758.8499755859375,1314.9000244140625,510.0499877929688,8293.150390625,1074.3499755859375,20023.94921875,123.0500030517578,167.9499969482422,3019.89990234375,149.35000610351562,13923.150390625,219.85000610351562,2529.199951171875,817.5499877929688,55.099998474121094,124.08000183105469,158.85000610351562,2558.39990234375,78.75,595.1500244140625,782.0,1302.5999755859375,23559.5,2870.14990234375,1011.8499755859375,769.25,412.8999938964844,3286.39990234375,1002.6500244140625,2468.199951171875,1565.3499755859375,6920.2998046875,1669.5999755859375,864.0999755859375,724.6500244140625,393.04998779296875,457.3500061035156
2023-01-11,22211.0,2394.949951171875,,1877.1500244140625,796.4500122070312,3044.449951171875,508.1000061035156,2940.39990234375,447.5499877929688,3872.89990234375,949.75,3538.050048828125,5895.75,5775.4501953125,244.4499969482422,181.25,467.75,765.5499877929688,251.5500030517578,17350.94921875,352.5,4314.2998046875,1047.5999755859375,213.3999938964844,1489.300048828125,721.25,548.3499755859375,3411.449951171875,372.1000061035156,4261.89990234375,3137.25,97.3000030517578,182.6999969482422,900.5,1635.050048828125,1188.4000244140625,1054.800048828125,2143.449951171875,1590.9000244140625,599.8499755859375,2693.75,490.9500122070313,2593.25,339.3999938964844,256.45001220703125,866.2999877929688,1241.949951171875,461.7000122070313,421.6000061035156,183.6499938964844,1213.25,3655.60009765625,1471.25,2107.35009765625,83.55000305175781,331.79998779296875,754.2000122070312,1801.8499755859373,2125.35009765625,4225.5,754.0499877929688,1312.5999755859375,500.2999877929688,8284.4501953125,1067.8499755859375,19758.30078125,128.39999389648438,166.0500030517578,3048.60009765625,146.8000030517578,13924.25,220.5,2479.5,830.8499755859375,56.400001525878906,121.44000244140625,158.96249389648438,2526.14990234375,77.19999694824219,596.7000122070312,778.0999755859375,1291.300048828125,23516.69921875,2941.0,1028.0,759.2999877929688,418.20001220703125,3328.699951171875,1006.3499755859375,2437.39990234375,1551.949951171875,7021.9501953125,1674.199951171875,868.5,717.7999877929688,393.8500061035156,452.3500061035156
2023-01-12,22162.55078125,2364.39990234375,,1889.8499755859373,792.9500122070312,3061.300048828125,510.3999938964844,2915.949951171875,446.3500061035156,3911.800048828125,935.5499877929688,3570.300048828125,5898.39990234375,5866.7001953125,239.25,181.6999969482422,468.2916564941406,756.9000244140625,250.3000030517578,17379.0,345.04998779296875,4299.25,1061.1500244140625,213.8999938964844,1486.4000244140625,722.0999755859375,544.9500122070312,3305.300048828125,374.8999938964844,4310.60009765625,3103.25,96.8000030517578,187.8500061035156,915.1500244140624,1642.4000244140625,1192.5999755859375,1071.6500244140625,2150.75,1599.4000244140625,598.4000244140625,2694.25,485.6499938964844,2590.050048828125,345.1000061035156,249.6999969482422,860.6500244140625,1238.449951171875,464.7000122070313,418.7999877929688,184.5,1209.1500244140625,3716.60009765625,1480.5999755859375,2105.050048828125,81.5999984741211,329.8500061035156,763.4500122070312,1779.5,2159.75,4276.14990234375,754.3499755859375,1319.9000244140625,501.6000061035156,8369.2001953125,1063.300048828125,19873.25,128.5,165.9499969482422,3054.449951171875,146.14999389648438,13961.0,218.89999389648438,2495.5,836.8499755859375,55.849998474121094,119.4000015258789,160.125,2471.60009765625,78.1500015258789,594.9000244140625,780.25,1315.699951171875,23854.849609375,2981.300048828125,1032.8499755859375,754.25,412.25,3334.35009765625,1001.5499877929688,2446.60009765625,1546.5,7153.35009765625,1644.1500244140625,857.75,717.7999877929688,394.5,448.1499938964844
2023-01-13,22282.19921875,2367.199951171875,,1915.6500244140625,794.6500244140625,3025.25,518.6500244140625,2909.14990234375,435.1499938964844,3863.699951171875,934.1500244140624,3605.300048828125,5977.7998046875,5947.60009765625,238.0,184.8999938964844,468.4583435058594,764.2999877929688,252.0500030517578,17332.900390625,350.1000061035156,4336.10009765625,1067.75,215.1000061035156,1484.300048828125,713.0499877929688,543.7000122070312,3351.699951171875,377.0499877929688,4320.39990234375,3162.050048828125,96.0999984741211,187.0500030517578,917.2000122070312,1655.0999755859375,1172.5999755859375,1077.800048828125,2152.64990234375,1600.6500244140625,604.5,2728.449951171875,488.5,2624.0,349.70001220703125,251.1999969482422,873.4500122070312,1255.1500244140625,469.5499877929688,416.6000061035156,184.6000061035156,1234.4000244140625,3732.300048828125,1503.6500244140625,2117.39990234375,82.30000305175781,328.75,768.5,1780.300048828125,2153.39990234375,4287.4501953125,755.75,1328.1500244140625,496.5499877929688,8453.400390625,1062.6500244140625,19784.349609375,131.10000610351562,167.8000030517578,3083.60009765625,146.9499969482422,13916.849609375,221.0500030517578,2505.14990234375,837.0999755859375,56.79999923706055,122.19999694824219,160.5,2467.60009765625,77.25,600.0999755859375,787.3499755859375,1312.949951171875,24139.75,2966.60009765625,1031.5999755859375,752.9000244140625,411.5,3374.550048828125,1003.1500244140625,2417.199951171875,1550.800048828125,7248.89990234375,1620.0,846.0,718.7999877929688,393.8999938964844,441.3500061035156
