Name,2_March
Eveready Industries,341.1
Everest Industries,1225.4
Everest Kanto,156.6
Everest Organics,140.15
Everlon Financia,75.45
Evexia Lifecare,2.38
Excel Industries,841.5
Excel Realty N Inf,0.55
Exide Industries,326.85
Expleo Solutions,1357.8
Explicit Finance,6.67
Expo Gas Containers,21.75
Exxaro Tiles,113.95
Eyantra ventures,963.9
F Mec Intl Fin Serv,113.2
Facor Alloys,8.78
Fairchem Organics,1457.55
Family Care Hospital,9.07
Faze Three,422
Faze Three Autofab,91.85
FCL,43.91
FCS Software Soln,5
FDC,446.25
Fedbank Financial,123.1
Federal-Mogul Goetze,357.95
Fenoplast ,13.04
Fermenta Biotech,176.6
Fert & Chem Travan,737.7
Fervent Synergies,24
FGP,0
Fiberweb,38.3
Fiem Industries,1199.1
Filatex Fashions,16.34
Filatex India,72.25
Filatex India,72.25
Fine Organic Inds,4324.8
Fine-Line Circuits,82.01
Fineotex Chemical,415.6
Finkurve Financial,55.02
Fino Payments Bk,309
Finolex Cables,958.45
Finolex Industries,224.75
First Custodian Fund,58.8
First Fintec,8.22
Firstsource Soln,203.6
Fischer Chemic,447.25
Five Star Business,710
Five X Tradecom,0.48
Flair Writing Indu.,284.9
Flex Foods,104.05
Flexituff Ventures,40.3
Flomic Global Logs,77.67
Flora Corporation,11.2
Fluidomat,591.45
Focus Indl. Resource,0.67
Focus Lighting,176.75
Focus Lighting,176.75
Foods and Inns,155.5
Forbes & Company,0
Force Motors,6653.95
Fortis Healthcare,402.65
Fortis Malar Hosp,54.77
Fortune Intl,52.4
Foseco India,3520.2
Fourth Gen Info Sys,5.22
Franklin Industries,7.48
Franklin Industries,7.48
Fraser & Company,5.57
Fredun Pharma,858.3
Freshtrop Fruits,161
Frontier Capital,36.05
Frontier Springs,1349.9
Fruition Venture,68.77
Fundviser Capital,80.34
Funny Software,0.37
Fusion Micro Fin.,548.5
Future Consumer,0.9
Future Enterprises,0.8
Future Entr - DVR,5.25
Future Lifestyle,2.7
Future Market Netw,6.95
Future Retail,2.4
Future Supply Chain,8.2
Futuristic Secs,25
Futuristic Solutions,124.8
G-Tec Jainx Edu,82.5
G-Tech Info-Training,1.45
G.G. Dandekar Prop.,109.45
G.S. Auto Intl,34.35
Gabriel India,347.4
Gaekwar Mills,12.52
Gagan Gases,22.98
Gagan Polycot,0.86
GAIL (India),184.4
Gajanan Securities,59.99
Gajra Bevel Gears,3.25
Gala Global Prods,3.87
Galactico Corp Serv,4.65
Galada Finance,15.7
Galaxy Agrico Export,50.13
Galaxy Bearings,1551
Galaxy Cloud Kitchen,15.48
Galaxy Surfactants,2466.25
Gallantt Ispat,64.15
Gallantt Ispat,218.2
Gallops Enterprise,26.01
Gammon Infra Proj,0.7
Gandhar Oil Refinery,238.95
Gandhi Special Tubes,804.35
Ganesh Benzoplast,192.8
Ganesh Holdings,68.9
Ganesh Housing,840.1
Ganesha Ecosphere,1061.2
Ganga Forging,11.9
Ganga Papers,129.75
Ganges Securities,125.75
Ganon Products,10.63
Garbi Finvest,29.96
Garden Reach,816.7
Garden Silk Mill,7.6
Garg Furnace,355.2
Garment Mantra,7.3
Garnet Construction,24.38
Garnet International,59.42
Garware Hi Tech,1907.75
Garware Marine,12.47
Garware Synthetics,16.37
Garware Tech Fibre,3540.25
Gateway Distri,106.8
Gautam Gems,10.41
Gayatri Bioorganic,6.46
Gayatri Highways,1.35
Gayatri Projects,9.6
Gayatri Sugars,21.44
GB Global,9.3
GBL Industries,2.84
GCM Securities,0.94
GCSL,99.41
GDL Leasing & Fin,8.33
GE Power India,307.2
GE Shipping,1004.55
GE T & D India,982.65
GEE,137.75
GeeCee Vntrs,279.45
Geekay Wires,106.65
Geekay Wires,106.65
Geetanjali Credit,3.43
Gemstone Investments,1.09
Genera Agri Corp,1.75
General Insurance,390.95
Generic Engg,49.65
Genesis IBRC,10.76
Genesys Intl Corp,620.3
Gennex Laboratories,17.57
Genomic Valley Bio,38
Genpharmasec,3.92
Gensol Engg,1102.45
Genus Paper & Boards,22.1
Genus Power Infra,255
Genus Prime Infra,20.63
Geojit Financial,75.65
GFL,84.65
GG Automotive Gear,100.1
GG Engineering,2.1
GHCL,510.35
GHCL Textiles,87.8
GI Engineering Sols,11.85
Gian Life Care,23.83
GIC Housing Finance,234.2
Gilada Finance,12.21
Gillanders Arbuthnot,99.5
Gillette India,6534.15
Gini Silk Mills,85.95
Ginni Filaments,36.1
Gita Renewable,173.15
GK Consultants,10.24
GKB Ophthalmics,0
GKP Printing,11.9
GKW,1637.95
Glance Fin,80.85
Gland Pharma,1794.8
Glenmark Life,844.9
Glenmark Pharma,928.25
Glittek Granites,3.45
Global Capital,1.01
Global Capital,1.01
Global Education,262.05
Global Health,1320.85
Global Offshore Serv,7.85
Global Surfaces,310.35
Global Vectra,121.55
Globalspace Tech,23.46
Globe Commercials,22.3
Globe Textiles,4.2
Globus Corporation,0
Globus Power Gen,17.36
Globus Spirits,786
Gloster,887.55
GM Breweries,623.65
GMDC,398.25
GMM Pfaudler,1332.65
GMR Airports Infra.,85.8
GMR Power,52.2
GNA Axles,429.05
GNFC,639.35
GNRL,26.66
Go Fashion (India),1126.7
Goa Carbon,830.25
GOCL Corp,487.65
Godavari Drugs,101.2
Godawari Pwr,768.75
Godfrey Phillips,3010.4
Godha Cabcon,0.85
Godrej Agrovet,527
Godrej Consumer,1273.4
Godrej Industries,814.25
Godrej Properties,2441.5
Goenka Business,7.65
Gokak Textiles,123.95
Gokaldas Exports,841.8
Gokul Agro Resources,113.9
Gokul Refoils,45.45
Gold Line Intl,1.07
Gold Rock Invest,11.02
Goldcoin Health,7.95
Goldcrest Corp,0
Golden Carpets,11.24
Golden Crest Edu,77.43
Golden Tobacco,57.35
Goldiam Intl,190.7
Goldstone Tech,152.15
Golechha Global,21
Golkunda Diamonds,179.4
Goodluck India,977.25
Goodricke Group,0
Goodyear India,1273.7
Gopal Iron & Steels,8.01
Gorani Industries,149.9
Gowra Leasing,43
Goyal Aluminiums,10.1
Goyal Aluminiums,10.1
Goyal Associates,1.93
GP Petroleums,71.75
GPT Healthcare,191.8
GPT Infraprojects,205.8
GPTL,0
GR Infraprojects,1262.05
Gradiente,4.88
Grand Foundry,8.25
Grandeur Products,173.1
Granules India,465.1
Graphite India,609.3
Grasim Industries,2245.75
Gratex Industries,20.6
Grauer & Weil,115.6
Graviss Hospitality,47.01
Gravita India,942.05
Gravity (India),4.61
Greaves Cotton,156.15
Greencrest Fin Serv,1.09
Greenearth Resources,0.24
Greenlam Industries,539.6
Greenpanel Industries,382.05
Greenply Industries,272.35
Grindwell Norton,2103.85
GRM Overseas,172.3
Groarc Indust Ind,9.58
Grob Tea Co,931.3
Grovy India,108.2
Growington,16.58
Growington,16.58
GRP,6314.95
GSB Finance,17.53
GSFC,225.4
GSK Pharma,2173.15
GSL Securities,13.6
GSPL,366.95
GSS Infotech,194.65
GTL,11.8
GTL Infrastructure,2.1
GTN Industries,11.95
GTN Textiles,19.5
GTPL Hathway,197.65
GTV Engineering,525
Gufic Biosciences,318.1
Guj Inds Power Co,190.75
Guj Sidhee Cement,33.1
Guj Themis Biosyn,0
Guj Themis Biosyn,368.35
Gujarat Alkalies,806.05
Gujarat Ambuja Exp,403.95
Gujarat Apollo Inds,277.6
Gujarat Cotex,0
Gujarat Craft Inds,127.55
Gujarat Credit,26.98
Gujarat Fluorochem,3673.2
Gujarat Gas,576.8
Gujarat Hotels,185.2
Gujarat Inject,13.52
Gujarat Intrux,255.5
Gujarat Lease Fin,11.1
Gujarat Metallic,29.78
Gujarat Petrosynth,65.37
Gujarat Pipavav Port,215.65
Gujarat Poly Elec,71.35
Gujarat Terce Labs,32.5
Gujarat Toolroom,56.09
Gujarat Toolroom,56.09
Gujchem Distillers,84.5
Gulf Oil Lubricants,1000.2
Gulshan Polyols,198.4
GV Films,1
GVK Power & Infra,12.4
GVP Infotech,12.7
Gyan Developers,30.63
HAL,3157.15
HAL,3157.15
Halder Venture,262.7
Haldyn Glass,169.6
Happiest Minds Tech,856
Happy Forgings,985.5
Hardcastle & Waud,668.2
Hardwyn India,41.25
Hardwyn India,41.25
Haria Apparels,6.3
Haria Exports,0
Hariom Pipe Inds,520.75
Harish Textile,51
Harita Seating Sys,766.55
Hariyana Ship,106.15
Harmony Capital,71.38
Harrisons Malayalam,190.5
Harsha Engineers Int,409
Harshil Agrotech,5.32
Haryana Capfin,182.95
Haryana Leather,67.07
Hasti Finance,10.35
Hathway Cable,22.7
Hatsun Agro Prod,1123.9
Havells India,1576.45
Hawa Engineers,164.5
Hawkins Cookers,0
Hazoor Multi Proj,399.9
HB Estate Developers,67.07
HB Leasing,24.69
HB Portfolio,78.48
HB Stockholdings,92.05
HBCDL,20.5
HBL Power Systems,517.6
HBSL,9.19
HBSL,9.19
HCKK Ventures,130.16
HCL Infosystems,16.7
HCL Technologies,1646.3
HDFC Asset Mgmt Co,3767.45
HDFC Bank,1430.75
HDFC Life Insurance,592.3
Healthcare Global,351.45
HEC Infra Projects,84.1
HEG,1657.5
Heidelberg Cement,209.7
Helpage Finlease,17.43
Hemadri Cements,127.75
Hemang Resources,40.6
Hemisphere Prop,220.25
Hemo Organic,8.2
Heranba Industries,358.8
Hercules Hoists,427.5
Heritage Foods,347.35
Hero MotoCorp,4581.45
Hester Biosciences,1440.55
Heubach Colorants(I),525.9
Hexa Tradex,153.9
HFCL,108.5
HGIEL,922.4
Hi-Klass Trading,5.62
Hi-Klass Trading,5.62
Hi-Tech Gears,565.85
Hi-Tech Pipes,148
Hi-Tech Pipes,148
Hi-Tech Winding Sys,2.4
High Energy Batteries,564
High Street Filatex,57.37
Hikal,279.2
HIL,2805.5
Hiliks Technologies,31.8
Hilton Metal Forging,160.8
HIM Teknoforge,146.95
Himadri Spl Chem,361.1
Himalaya Food,27.95
Himalaya Granites,0
Himatsingka Seide,146.4
Hind Aluminium Inds,60
Hind Commerce,3.81
Hind National Glass,21.1
Hind Rectifiers,796.45
Hind Secs &,8.02
Hindalco,522.85
Hindcon Chemicals,51.35
Hindcon Chemicals,51.35
Hindoostan Mills,323.5
Hindprakash Inds,160.85
Hinduja Global,913.45
Hindustan Adhesive,440.7
Hindustan Agri,60.34
Hindustan Appliances,38.58
Hindustan Composites,428.3
Hindustan Constr,42.4
Hindustan Copper,281.6
Hindustan Fluoro,17.99
Hindustan Foods,516.5
Hindustan Hardy,451.6
Hindustan Housing Co,38.74
Hindustan Media,113.3
Hindustan Motors,19.2
Hindustan Tin Works,0
Hindustan Unilever,2416.2
Hindustan Zinc,312.6
Hindusthan Urban,2344.95
Hipolin,139.75
Hisar Metal Inds,212.35
Hit Kit Global,1.05
Hitachi Energy,6128.2
Hitech Corporation,232.05
Hittco Tools,11.5
HLE Glascoat,496.35
HLV,29.8
HMA Agro Indus,66.5
HMA Agro Indus,66.5
HOC,0
HOEC,194.3
Home First Fin Co,910.4
Honasa Consumer,418.65
Honda Power Prods,2513.9
Honeywell Automation,37961.25
HOV Services,64.45
Howard Hotels,25.5
Hp Adhesives,121.6
Hp Adhesives,121.6
HP Cotton Textile,151.9
HPCL,518.8
HPL Electric & Power,353.8
HS India,17.39
HT Media,31.05
Hubtown,144.9
HUDCO,195.9
Huhtamaki India,346.4
Hybrid Fin Serv,9.05
Hypersoft Tech,10.5
I Power Solutions,10.27
IB Infotech Entr,123.1
ICDS,49
Ice Make Refrig,513.45
ICICI Bank,1084.65
ICICI Lombard,1652.4
ICICI Prudential,538
ICICI Securities,826.2
ICRA,5807.05
ID Info Business,15.85
IDBI Bank,88.85
Ideaforge Technology,820.55
IDFC,118.1
IDFC First Bank,82.55
IDream Film Infra,89.5
IEL,8.82
IEL,8.82
IEX,151.55
IFB Agro Industries,472.85
IFB Industries,1432.4
IFCI,45.75
IFGL Refractories,566.7
IFL Enterprises,2.1
IFL Enterprises,2.1
Igarashi Motors,488.05
IGC Industries,27.6
IGPL,470
IIFL Finance,622.55
IIFL Securities,156.25
IIRM Holdings India,24.03
IIRM Holdings India,24.03
IITL Projects,34.91
IKIO Lighting,293.4
IL&FS Investment,10.3
IM+ Capitals,723.5
Imagicaaworld,82.8
IMEC Services,0
IMEC Services,6.34
IMFA,630.9
IMP Powers,5.6
IMPAL,1017.25
Impex Ferro Tech,4.85
Inani Marbles & Inds,23.88
Incap,76.69
Inceptum Enterprises,9.5
Incon Engineers,15.24
Ind & Prud Invest,5379
Ind Agiv Commerce,47.76
Ind Bank Housing,49.41
Ind Renewable,19.8
Ind Swift,19.5
Ind-Swift Labs,110.1
Indag Rubber,146.85
Indbank Merchant,48.05
Indergiri Finance,59.94
India Cements,232.9
India Cements Capital,19.39
India Finsec,80
India Gelatine,391.05
India Glycols,846.95
India Home Loan,33.43
India Infraspace,8.46
India Lease Dev,0
India Nippon Elec,735
India Pesticides,371.05
India Power Corp,19.85
India Radiators,5.93
India Shelter Fin.,630.65
India Steel Wrks,0
Indiabulls Enterpris,12.9
Indiabulls Housing,192.35
Indiabulls Real Es,121.5
Indiamart Inter,2657.75
Indian Acrylics,0
Indian Bank,529
Indian Bright Steel,141.35
Indian Card Cloth,269.15
Indian Hotels Co,589.5
Indian Hume Pipe,304.15
Indian Infotech,2.13
Indian Overseas Bank,64.4
Indian Ren. Energy,160.9
Indian Sucrose,0
Indian Terrain,75
Indian Toners,296.25
Indian Wood Prods,33.95
IndiaNivesh,15.25
Indigo Paints,1408.15
Inditrade Capital,31.99
Indo Amines,136.9
Indo Borax,177.2
Indo Borax & Chem.,177.75
Indo Cotspin,44.8
Indo Count Inds,338.45
Indo Credit Capital,1.78
Indo Euro Indchem,13.95
Indo National,701.9
Indo Rama Synthetics,50.5
Indo Tech,1100.95
Indo Thai Secs,327
Indo-City Infotech,11.55
Indo-Global Entr,16
Indo-National,701.9
Indoco Remedies,354.85
Indokem,0
IndoStar Capital,223.8
Indowind Energy,21.85
Indra Industries,8.53
Indrapras Med Corp,181.75
Indraprastha Gas,435.05
Indrayani Biotech,64.06
Indsil Hydro Power,55.92
Indsoya,9.55
Inducto Steels,70.8
Indus Finance,18.12
Indus Towers,265.7
IndusInd Bank,1526
Industrial Invest,207.5
Inertia Steel,146
Infibeam Avenues,36.15
Info Edge (India),5183.75
Infobeans Tech,406.1
Infomedia Press,5.6
Informed Tech,65.86
Infosys,1656.3
Infra Industries,9.5
Infronics Systems,70.34
Ingersol-Rand,3801.95
Inland Printers,33.71
Innocorp,5.95
Innova Captab,532.15
Innovassynth Inv,31.21
Innovative Tech,30.82
Inox Green Energy Se,136.05
Inox India,1270.35
INOX Leisure,508.85
INOX Wind,581.7
Inox Wind Energy,6920.1
Insecticides India,539.65
Insilco,0
Inspirisys Solutions,105.5
Intec Capital,17.73
Integra Capital,19.9
Integra Engg,253.4
Integra Essentia,3.65
Integra Garments,1.7
Integra Switchgear,65.88
Integra Telecomm,10.3
Integrated Capital,3.96
Integrated Fin Serv,56.75
Integrated Hitech,7.54
Integrated Protein,16.5
Integrated Tech,614.1
Intellect Design,1097.55
Intellivate Ventures,46.15
Intense Tech,131.1
Inter Globe Finance,58.56
Interactive Fin Serv,22.85
Interglobe Aviation,3159.8
Interstate Oil,42.05
Interworld Digital,0.56
Intl Combustion,1799.5
Intl Constructions,89.05
Intl Conveyors,88.7
Intl Data Mgmt,16.7
Intl Travel House,0
Intrasoft Tech,158.1
Inv Trust of India,140.9
Inventure Growth,2.75
Invigorat.Busines,0
IOCL,172.2
IOLCP,408.3
Ion Exchange,492
Ion Exchange,492
IP Rings,0
IPCA Laboratories,1198.95
IPCL,579.3
IRB Infra Devs,64.35
IRB Infra Devs,64.35
Ircon International,228.5
IRCTC,933.7
IRFC,148.7
IRIS Business Serv,132
Iris Clothings,85.55
Iris Clothings,85.55
IRM Energy,559.55
Ironwood Education,25.92
ISF,2.24
ISGEC Heavy Engg,870.1
Ishaan Infra,5.56
Ishan Dyes & Chem,58.09
Ishita Drugs & Inds,72.92
ISL,28.8
ISL Consulting,32
ISMT,94.55
IST,991.1
iStreet Network,2.7
ITC,412.05
ITD Cementation,336.1
ITDC,761.25
ITI,295.2
ITL Industries,345.7
IVP,184.35
Iykot Hitech,26.84
Izmo,293.5
J C T,0
J Kumar Infra,649.25
J R Foods,3.61
J Taparia Projects,30.1
JA Finance,29.3
Jackson Investments,1.1
Jagan Lamps,114.85
Jagatjit Inds,0
Jagran Prakashan,119.3
Jagson Pal Pharma,308.55
Jagsonpal Fin,7.24
Jai Balaji Inds,1240.55
Jai Corp,316.55
Jai Mata Glass,2
Jaihind Synthetics,30.16
Jain Irrigation,57
Jain Irrigation - DVR,33.1
Jain Marmo Inds,22.06
Jainco Projects,5.25
Jainex Aamcol,150
Jaipan Industries,41.4
Jaiprakash Asso,19.25
Jaiprakash Power,18.75
James Warren Tea,228
Jammu & Kashmir Bank,143
Jamna Auto Inds,135.7
Jamshri Realty,5375.05
Jana Small Fin. Bank,453.25
Jasch Industries,0
Jasch Industries,249.75
Jash Engineering,1779.6
Jatalia Global Vent,1.43
Jauss Polymers,6.56
Jay Bharat Maruti,135.85
Jay Bharat Maruti,135.85
Jay Shree Tea & Inds,118.9
Jay Ushin,745
Jayabharat Credit,14.24
Jayant Agro-Organics,231.85
Jayant Infratech,295
Jayaswal Neco Inds,54.7
Jayatma Enterprise,23
Jayatma Industries,14.4
Jaybharat Textiles,26.2
Jaykay Enterprises,0
Jaypee Infratech,1.25
Jayshree Chemicals,10.45
Jaysynth Dyestuff,0
JBCPL,1539.9
JBCPL,1539.9
JBF Industries,4.3
JBM Auto,2147.1
JD Orgochem,0
Jeevan Scientific,56.03
Jenburkt Pharma,791.25
Jet Freight Logistic,14.55
Jetking Infotrain,58.28
Jhaveri Credits,527.3
JHS Svendgaard Lab,24.75
Jindal Capital,37.41
Jindal Drilling,675.2
Jindal Hotels,67.2
Jindal Leasefin,38.75
Jindal Photo,655.6
Jindal Poly Films,562.2
Jindal Poly Invst,741.25
Jindal SAW,493.35
Jindal SS (Hisar),562.8
Jindal Stainless,662.9
Jindal Steel & Power,838.5
Jindal Worldwide,419.7
JIO Financial Serv.,328.25
JITF Infra,527.95
Jiya Eco-Products,3.5
JJ Finance,25
JK Agri Genetics,415.95
JK Cement,4514.4
JK Lakshmi Cement,941.15
JK Paper,377.85
JK Tyre & Industries,519.8
JL Morison,2021.35
JM Financial,98.95
JMC Projects,118.85
JMD Ventures,14.24
JMJ Fintech,24.33
JMT Auto,1.45
Jocil,204.05
John Cockerill India,0
Johnson Controls,1122.7
Johnson Pharmacare,0.89
Joindre Capital Serv,50.37
Jolly Merchants,12.87
Josts Engg Co,681.15
Josts Engg Co,681.15
Joy Realty,43.17
JPT Securities,9.4
JSL Industries,879
JSW Energy,504.95
JSW Holdings,6594.25
JSW Infrastructure,260.1
JSW Ispat Spl Prod,39
JSW Steel,844.95
JTEKT India,161.8
JTL,15.02
JTL Industries,261.9
JTL Infra,261.55
Jubilant Foodworks,468.4
Jubilant Industries,1424.9
Jubilant Ingrevia,487.35
Jubilant Pharmova,571.35
Julien Agro Infra,29.88
Jullundur Motor,118.75
Jumbo Bag,0
Jupiter Infomedia,43.96
Jupiter Life Line,1350.05
Jupiter Wagons,366.9
Just Dial,922.9
Justride Entr,276.35
Jyothy Labs,449.1
Jyoti,59.46
Jyoti Resins,1371.4
Jyoti Structures,26.5
Jyotirgamya Entr,40.2
K & R Rail Engg,662.3
K-Lifestyle & Inds,0
K.P.R. Mill,773.65
Kabra Commercial,25.77
Kabra Drugs,6.85
Kabra Extrusion,361.5
Kabsons Industries,18.66
Kachchh Minerals,38.68
Kaira Can Company,2249.9
Kaiser Corporation,13.28
Kaizen Agro Infra.,19.39
Kajaria Ceramics,1282
Kakatiya Textiles,23.91
Kallam Textiles,7.14
Kalpataru Projects,981.85
Kalyan Capitals,23.1
Kalyan Jewellers,412.4
Kalyani Steels,1015.35
Kama Holdings,2642.2
Kamadgiri Fashion,78.68
Kamanwala Housing,22.52
Kamat Hotels,299.6
Kamdhenu,653.25
Kamdhenu Ventures,193.2
Kanani Industries,4.85
Kanchi Karpooram,401.6
Kanco Tea & Inds,79.2
Kandagiri Spinning,0
Kanel Industries,0
Kanishk Steel Inds,32.05
Kanoria Chemical,124.75
Kanoria Enr & Infra.,29.82
Kanpur Plastipack,106.4
Kansai Nerolac,292.5
Kanungo Financiers,5.41
Kapil Cotex,126.5
Kapil Raj Finance,15
Kapston Services,254.8
Karda Constructions,16.55
Karma Energy,77.7
Karnataka Bank,237.35
Karnavati Finance,2.14
Karnavati Finance,2.14
Kartik Investments,736
Karur Vysya Bank,185.35
Kashyap Tele-Meds,2.4
Katare Spinning,243.95
Kaushalya Infra,775.05
Kaveri Seed Co,671.5
Kavveri Telecom,13.15
Kay Power & Paper,43.12
Kaya,342.25
Kaycee Industries,17500
Kaynes Technology,3008.95
KBC Global,2.05
KBS India,10.16
KBS India,10.16
KCD Industries,12.18
KCD Industries,12.18
KCL Infra Projects,2
KCP,194.05
KCP Sugar & Inds,39
KCSIL,229.55
KD Leisures,5.47
KDDL,2631.4
KEC International,720.95
KEERTHI,143
KEI Industries,3214.15
Kellton Tech Soln,126.85
Keltech Energies,2708.45
Kemistar Corp,44.39
Kemp & Company,1089.9
Ken Financial Serv,12.7
Kennametal,2476.1
Kenvi Jewels,6.66
Kenvi Jewels,6.66
Kerala Ayurveda,293.95
Kesar Enterprises,0
Kesar Petroproducts,12.35
Kesar Terminals,0
Kesoram Industries,172.55
Kewal Kiran Clothing,754.2
Key Corp,87.85
Keynote Financial,172.45
Keystone Realtors,676.35
KFin Technologies,685.6
KG Denim,0
KG Petro Chem,205
KGN Enterprises,7.26
Khadim,355.2
Khaitan,81
Khaitan Chem & Fert,79.5
Khandelwal Extract,67.13
Khandwala Securities,32.25
Khoday India,116.25
Khoobsurat,1.47
KIC Metaliks,52.7
KICL,4562.55
Kiduja India,279.4
KIFS Financial,148.05
Kilburn Eng,0
Kilitch Drugs,380.55
Kimia Biosciences,36.99
KIMS,2230.55
Kinetic Engineering,0
Kinetic Trust,14.93
Kingfa Science,1936.6
Kings Infra Ventures,199.35
KIOCL,491.45
Kiran Print Pack,11.18
Kiran Syntex,9.07
Kiran Vyapar,180.25
Kiri Industries,392.95
Kirloskar Brothers,934.4
Kirloskar Electric,124.6
Kirloskar Ferrous,452.2
Kirloskar Industries,4154.1
Kirloskar Oil Engines,909.3
Kirloskar Pneumatic,737.05
Kisan Mouldings,43.31
Kitex Garments,244.7
KJMC Corp Advisors,60.89
KJMC Financial,0
KK Fincorp,34.03
KK Shah Hospitals,62
Kkalpana Inds,9.95
Kkalpana Plastick,24.78
Kkrrafton Devs,111
KLG Cap Servs,7.74
KLRF,0
KM Sugar Mills,33.85
KMC Spl Hospitals,91.05
KMEL,1.82
KMF Builders & Devs,8.98
KNR Constructions,272.05
Kohinoor Foods,41.5
Kokuyo Camlin,130.15
Kolte-Patil Devs,485.5
Kome-on Comm,2.11
Konark Synthetic,23.31
Konndor Industries,8.57
Kopran,249.1
Kore Foods,0
Kotak Mahindra Bank,1723.7
Kothari Ferment,78.88
Kothari Petrochem,136.15
Kothari Products,139.1
Kothari Sugars,60.25
Kotia Enterprises,16
Kovai Medical,2576.65
KP ENERGY,401.15
KP ENERGY,401.15
KPI Green Energy,1760.95
KPIT Tech,1583.9
KPR Mill,773.65
KPT Industries,607.4
Kranti Industries,80.07
Kratos Energy,308.7
KRBL,315.7
Krebs Biochem,73.25
Kreon Financial Serv,53.44
Kretto Syscon,0.85
Kridhan Infra,6.3
Krishana Phoschem,259.2
Krishanveer Forge,75
Krishna Capital,18.92
Krishna Filament,0
Krishna Ventures,96.15
Kriti Industries,157.4
Kriti Nutrients,112.25
Kritika Wires,19.3
Krsnaa,665.1
Krypton Industries,37.3
KSB,3834.65
KSE,0
Kshitij Polyline,6
Ksk Energy Ven,0
KSL & Industries,0
Ksolves India,1263.8
KSS,0.15
Kuantum Papers,186.25
Kuber Udyog,7.69
Kuberan Global E,16.82
Kumbhat Financial,14.28
Kunststofe Inds,33.47
Kush Industries,0
Kushal,2.24
Kuwer Industries,13.6
Kwality,2.2
Kwality Cr & Leasing,7.6
Kwality Pharma,506
KZ Leasing & Fin,35.5
L&T,3655.25
L&T Fin Holdings,171.4
L&T Tech Services,5312.15
La Opala Rg,342.5
La Tim Metal & Inds,17.35
Lactose India,165.4
Ladam Affordable,8.3
Ladderup Finance,33.65
Laffans Petrochem,45.69
Lagnam Spintex,119.65
Lahoti Overseas,50.04
Lakhotia Polyester,41.25
Lakshmi Auto Loom,1872.9
Lakshmi Electrical,0
Lakshmi Finance,205.15
Lakshmi Machine,14671.1
Lakshmi Mills Co,0
Lambodhara Textile,169
Lancer Container,149.7
Lancer Container,149.7
Lancor Holdings,60.94
Landmarc Leisure,1.08
Landmark Cars,771.5
Lasa Supergenerics,29.65
Last Mile Enterprise,656.5
Latent View Anal,524
Latteys Industries,18.95
Laurus Labs,408.9
Laxmi Cotspin,32.65
Laxmi Goldorna,265.3
Laxmi Organic Inds,257.45
LCC Infotech,2.5
Le Lavoir,100.27
Lead Financial,22.74
Leading Leasing,2.35
Ledo Tea,32.4
Lehar Footwears,132.9
Lemon Tree Hotels,141.35
Lerthai Finance,480.1
Lesha Industries,4.3
Lexus Granito,40.35
LG Balakrishnan,1189.55
LGB Forge,11.05
Libas Consumer Prods,22
Liberty Shoes,309.6
Libord Finance,10.33
Libord Securities,11.77
LIC,1036.25
LIC Housing Finance,648.4
Likhami Consulting,142.25
Likhitha Infra,264.35
Likhitha Infra,264.35
Lime Chemicals,36.6
Linaks Micro Elec,1.12
Linc,551.65
Lincoln Pharma,680.5
Linde India,5525.6
Link Pharmachem,47
Lippi Systems,18.1
LKP Finance,0
LKP Securities,19.31
Lloyds Engr Works,58.8
Lloyds Metals,588.8
LNSEL,12.14
Lohia Securities,195
Lokesh Machines,330.4
Longspur Ventures,10.02
Longview Tea Co,48.48
Looks Health Serv,5.86
Lords Chloro Alkali,129.5
Lords Ishwar Hotels,16.8
Lorenzini Apparels,459.7
Lotus Chocolate Co,341.65
Lotus Eye Hosp,64.8
Lovable Lingerie,139.2
Loyal Equipments,151.65
Loyal Textile Mills,615
LPDCL,9.95
LT Foods,178.75
LTIMindtree,5294.9
Ludlow Jute,86.45
Luharuka Media,5.08
Lumax Auto Tech,480.2
Lumax Industries,2373.65
Lupin,1634.4
Lux Industries,1172.35
LWS Knitwear,38.86
Lyka Labs,123.1
Lykis,58.93
Lynx Machinery,108.5
Lypsa Gems,7.35
M Lakhamsi Inds,2.2
Maan Aluminium,144.85
Maan Aluminium,144.85
Mac Charles,467
Machino Plastics,228.7
Macpower CNC,870
Macro Intl,38.94
Macrotech Devs,1170.15
Madhav Copper,38.65
Madhav Infra Proj,10.77
Madhav Marbles,50.15
Madhucon Projects,8.75
Madhur Industries,0
Madhusudan Inds,0
Madhusudan Secs,36.21
Madhuveer Com 18,67.5
Madras Fertilizers,97.95
Maestros Elec,123.75
Mafatlal Industries,0
Mafatlal Industries,142.05
Magadh Sugar,626.65
Magellanic Cloud,628.95
Magna Electro,456.35
Magnanimous Trade,3.84
Magnum Ventures,60.05
Magnus Retail,5.9
Maha Rashtra Apex,136.95
Mahaan Foods,41
Mahamaya Steel,104.9
Mahan Industries,2.46
Mahanagar Gas,1500.6
Maharashtra Corp,1.56
Maharashtra Scooters,7562
Maharashtra Seamless,957.7
Mahaveer Infoway,10.2
Mahavir Industries,0.91
Mahesh Developers,12.27
Maheshwari Logistics,74.6
Mahindra & Mahindra,1960.1
Mahindra EPC Irrig,132
Mahindra Financial,287.65
Mahindra Holidays,418.25
Mahindra Lifespace,593.1
Mahindra Logistics,439.3
Maithan Alloys,1120.95
Maitri Enterprises,41.47
