Name,2_March
Anuroop Packaging,21.55
Apar Industries,6259.6
Apcotex Industries,466.7
Apex Frozen Foods,223.6
Apis India,182.6
APL Apollo Tubes,1531.85
Aplab,0
Aplaya Creations,0.4
APM Industries,67.75
Apollo Finvest,1045
Apollo Hospitals,6133.3
Apollo Micro Systems,127
Apollo Micro Systems,127
Apollo Pipes,717.3
Apollo Sindoori Hotels,2001.1
Apollo Tricoat Tubes,1059.75
Apollo Tyres,531.2
Apoorva Leasing,28.13
Aptech,245.15
Aptus Value,339.95
Aravali Securities,0
ARC Finance,0.99
Arcee Industries,6.32
Archana Software,0
Archean Chem Inds,742
Archidply Industries,90.7
Archies,41.05
Archit Organosys,47.22
Arcotech,2.2
Arex Industries,149.2
Arfin India,53
Aries Agro,300.1
Arigato Universe,67.2
Arihant Capital,66.9
Arihant Foundations,39.65
Arihant Superstructures,349.3
Arihant's Securities,22.88
Aris International,49.69
Arman Financial Serv,2071.15
Arman Holdings,67.95
Arnold Holdings,40.7
Aro Granite Inds,55.65
Aroma Enterprises,30
Arrow Greentech,401
Arshiya,9.1
ARSS Infra Project,21.5
Art Nirman,71.45
Artefact Projects,94.36
Artemis Electricals,39.08
Artemis Electricals,39.08
Artemis Medicare,173.2
Artson Engineering,0
Aruna Hotels,0
Arunis Abode,46
Arunjyoti Bio Vent,246.9
Arvee Labs (India),132.1
Arvind,280.55
Arvind Fashions,455.9
Arvind Smartspaces,617.05
Aryaman Financial,247.85
Aryan Share & Stock,21.27
Asahi India Glass,534.3
Asahi Songwon,329.15
Ascensive Educare,60.29
Ashapura Minechem,401.8
Ashapuri Gold,13.17
Ashapuri Gold,13.17
Ashari Agencies,2.07
Ashiana Agro Inds,11.57
Ashiana Housing,307.15
Ashiana Ispat,38.51
Ashika Credit Capital,89.27
Ashima,21.05
Ashirwad Capital,5.93
Ashirwad Steels,43.36
Ashish Polyplast,28.02
Ashnisha Industries,8.08
Ashnoor Textile,50.28
Ashok Leyland,172.4
Ashoka Buildcon,188.75
Ashoka Metcast,25.9
Ashram Online Com,0
Ashtasidhhi Indus.,12.25
ASI Industries,0
Asia Capital,16.55
Asia Pack,49.5
Asian Energy Serv,298.15
Asian Granito India,64.75
Asian Hotels East,167.6
Asian Hotels North,129.35
Asian Hotels West,144.15
Asian Paints,2849.8
Asian Petro Products,15.92
Asian Star Co,833.05
Asian Tea & Export,15.09
Asian Warehousing,37.3
Asin Food Prod,18.18
Asit C Mehta Fin,172.3
ASK Automotive,295.75
ASM Technologies,1064.8
Aspinwall & Co,250.85
Aspira Pathlab,33.42
Assam Entrade,687.4
Assoc Alcohol & Brew,543.6
Associated Ceramics,1272.95
Astec Lifesciences,902.35
Aster DM Healthcare,467.6
Astra Micro Wave,621.65
Astral,2108.95
Astrazeneca Pharma,5450.2
Astron Paper & Board,28.5
Asya Infosoft,3.61
Atal Realtech,17.1
Atam Valves,172.5
Atharv Enterprises,2.4
Athena Global Tech,99.8
Atishay,72.8
Atlantaa,24.5
Atlas Cycle(Haryana),28.85
Atlas Jewellery,9.27
Atul,6170.6
Atul Auto,541.9
ATV Projects India,0
AU Small Fin Bank,578
Aurionpro Solutions,2199.65
Auro Laboratories,159.15
Aurobindo Pharma,1076.95
Auroma Coke,6.27
Aurum Proptech,142.55
Ausom Enterprise,91
Austin Engg Co,219.2
Authum Invstmnt,860.35
Auto Pins India,161
Autoline Industries,142.65
Autolite India,15.5
Automobile Corp Goa,0
Automotive Axles,2010.45
Automotive Stamping,664.4
Autoriders Intl,34.79
Avadh Sugar & Energy,593.9
Available Finance,221.05
Avalon Technologies,528.05
Avance Technology,1.56
Avance Technology,1.56
Avance Technology,1.56
Avantel,113.05
Avantel,113.05
Avanti Feeds,529.15
Aveer Foods,499
Avenue Supermarts,3868.25
AVG Logistics,629.7
AVI Polymers,12.4
AVI Products India,30.79
Aviva Industries,25.38
Avonmore Capital,105
Avro India,142.4
AVT Natural Prod,104.6
Axel Polymers,62.53
Axis Bank,1096.7
Axiscades Tech,657.4
Axita Cotton,23.85
Axon Ventures,0
Axtel Industries,633.9
Aym Syntex,95.45
Azad Engineering,1334.35
B & A,459.15
B & A Packaging,233.4
B & B Triplewall,277.15
B2B Software,33.88
Baba Arts,14.71
Bacil Pharma,10.5
Bafna Pharma,90.8
BAG Films & Media,10.6
Baid Leasing & Fin,26.65
Baid Leasing & Fin.,26.54
Bajaj Auto,8041.3
Bajaj Consumer Care,238.95
Bajaj Electricals,1010.2
Bajaj Finance,6584.35
Bajaj Finserv,1610.15
Bajaj Healthcare,336.45
Bajaj Hindusthan Sugar,34.7
Bajaj Holdings,9047.65
Bajaj Steel Industries,1228.1
Bajel Projects,228.4
Bal Pharma,115.65
Balaji Amines,2227.4
Balaji Telefilms,111.05
Balasore Alloys,0
Balaxi Pharma,573.65
Balgopal Commercial,38.53
Balkrishna Industries,2266.5
Balkrishna Paper,37.35
Ballarpur Industries,0.85
Balmer Lawie Invst,641.2
Balmer Lawrie & Co,243.65
Balrampur Chini Mills,374.95
Balu Forge Inds,208.3
Balurghat Tech,0
Bambino Agro Inds,355
BAMPSL Securities,9.67
Banaras Beads,102.05
