,Name,2_March,18_May
181,Allsec Technologies,835.35,1053.85
182,Almondz Global Sec,113.45,123.15
183,Alok Industries,28.7,26.65
184,Alpa Laboratories,101.9,89.75
185,Alphageo (India),387.7,360.1
186,Alphalogic,88.0,299.0
187,Alpine Housing Dev,0.0,0.0
188,Alps Industries,2.25,3.95
189,Alps Motor Finance,0.38,0.38
190,Alstone Textiles,0.76,0.7
191,Alstone Textiles,0.76,0.7
192,Alstone Textiles,0.76,0.7
193,Alstone Textiles,0.76,0.7
194,Alufluoride,457.8,492.5
195,Amal,363.0,389.85
196,Amalgamated Elec,61.98,67.83
197,Amara Raja Energy,848.75,1158.4
198,Amarjothi Mills,0.0,0.0
199,Amarnath Security,52.76,61.29
200,Amba Enterprises,134.2,153.75
201,Ambalal Sarabhai,0.0,0.0
202,Ambar Protein Inds,157.65,160.0
203,Ambassador Intra,39.9,43.64
204,Amber Enterprises,3658.0,3962.85
205,Ambica Agarbathies,30.1,28.3
206,Ambika Cotton Mills,1659.8,1543.35
207,Ambition Mica,4.0,3.18
208,Ambitious Plastomac,5.9,5.7
209,Ambuja Cements,617.9,619.0
210,Amco India,63.25,56.1
211,AMD Industries,62.2,68.1
212,Amerise,0.7,0.62
213,Amforge Industries,0.0,0.0
214,Ami Organics,1116.25,1244.25
215,Amin Tannery,2.16,2.56
216,Amines & Plasticizers,177.75,195.65
217,Amit International,4.18,3.62
218,Amit Securities,4.0,4.0
219,AMJ Land Holdings,37.75,41.1
220,Amrapali Inds,15.28,15.15
221,Amraworld Agrico,1.1,1.01
222,Amrit Corp,937.95,937.95
223,Amrutanjan Health,669.2,740.55
224,AMS Polymers,25.77,25.77
225,Anand Projects,23.32,24.48
226,Anand Rathi Weal,3876.0,3945.55
227,Anand Rayons,43.93,40.5
228,Anant Raj,350.35,385.8
229,Andhra Cements,4.95,4.95
230,Andhra Cements,4.95,92.1
231,Andhra Cements,98.25,4.95
232,Andhra Cements,98.25,92.1
233,Andhra Paper,532.1,517.05
234,Andhra Petrochem,0.0,0.0
235,Andhra Sugars,111.05,104.95
236,Andhra Sugars,111.05,104.95
237,Andhra Sugars,111.05,104.95
238,Andhra Sugars,111.05,104.95
239,Andrew Yule & Co,31.35,31.35
240,Aneri Fincap,7.56,7.54
241,ANG Lifesciences,62.64,56.0
242,Angel One,2833.15,2756.5
243,Anik Industries,48.0,51.95
244,Anjani Finance,14.29,11.39
245,Anjani Foods,29.87,31.8
246,Anjani Portland Cement,206.9,180.55
247,Anjani Synthetics,43.69,44.9
248,Anka India,13.13,12.42
249,Ankit Metal & Power,4.3,3.9
250,Anmol India,57.15,38.55
251,Anna Infrastructures,30.79,33.46
252,ANS Industries,12.5,10.63
253,Ansal Buildwell,184.35,146.95
254,Ansal Housing,5.25,5.25
255,Ansal Properties,11.1,9.45
256,Anshuni Commercial,0.88,1.44
257,Antariksh Industries,1.34,1.34
258,Antony Waste,515.2,485.0
259,Anuh Pharma,220.7,252.6
260,Anup Engineering,2779.25,1858.0
261,Anupam Finserv,2.52,2.05
262,Anupam Rasayan,958.1,784.35
263,Anuroop Packaging,21.55,20.69
264,Apar Industries,6259.6,8053.25
265,Apcotex Industries,466.7,406.1
266,Apex Frozen Foods,223.6,217.0
267,Apis India,182.6,219.8
268,APL Apollo Tubes,1531.85,1668.15
269,Aplab,0.0,0.0
270,Aplaya Creations,0.4,0.4
271,APM Industries,67.75,65.6
272,Apollo Finvest,1045.0,950.0
273,Apollo Hospitals,6133.3,5953.95
274,Apollo Micro Systems,127.0,112.9
275,Apollo Micro Systems,127.0,112.9
276,Apollo Micro Systems,127.0,112.9
277,Apollo Micro Systems,127.0,112.9
278,Apollo Pipes,717.3,632.55
279,Apollo Sindoori Hotels,2001.1,1709.45
280,Apollo Tricoat Tubes,1059.75,1059.75
281,Apollo Tyres,531.2,492.6
282,Apoorva Leasing,28.13,33.0
283,Aptech,245.15,223.5
284,Aptus Value,339.95,316.0
285,Aravali Securities,0.0,0.0
286,ARC Finance,0.99,0.93
287,Arcee Industries,6.32,6.41
288,Archana Software,0.0,0.0
289,Archean Chem Inds,742.0,621.8
290,Archidply Industries,90.7,120.75
291,Archies,41.05,27.75
292,Archit Organosys,47.22,43.41
293,Arcotech,2.2,2.2
294,Arex Industries,149.2,176.0
295,Arfin India,53.0,52.47
296,Aries Agro,300.1,241.3
297,Arigato Universe,67.2,95.46
298,Arihant Capital,66.9,66.35
299,Arihant Foundations,39.65,39.65
300,Arihant Superstructures,349.3,345.5
301,Arihant's Securities,22.88,20.35
302,Aris International,49.69,57.5
303,Arman Financial Serv,2071.15,2075.9
304,Arman Holdings,67.95,67.6
305,Arnold Holdings,40.7,46.48
306,Aro Granite Inds,55.65,52.55
307,Aroma Enterprises,30.0,30.0
308,Arrow Greentech,401.0,518.25
309,Arshiya,9.1,5.75
310,ARSS Infra Project,21.5,21.0
311,Art Nirman,71.45,52.75
312,Artefact Projects,94.36,85.0
313,Artemis Electricals,39.08,32.6
314,Artemis Electricals,39.08,32.6
315,Artemis Electricals,39.08,32.6
316,Artemis Electricals,39.08,32.6
317,Artemis Medicare,173.2,191.9
318,Artson Engineering,0.0,0.0
319,Aruna Hotels,0.0,0.0
320,Arunis Abode,46.0,52.35
321,Arunjyoti Bio Vent,246.9,82.31
322,Arvee Labs (India),132.1,183.7
323,Arvind,280.55,378.75
324,Arvind Fashions,455.9,471.2
325,Arvind Smartspaces,617.05,679.2
326,Aryaman Financial,247.85,282.7
327,Aryan Share & Stock,21.27,22.32
328,Asahi India Glass,534.3,605.1
329,Asahi Songwon,329.15,362.95
330,Ascensive Educare,60.29,73.0
331,Ashapura Minechem,401.8,346.65
332,Ashapuri Gold,13.17,12.33
333,Ashapuri Gold,13.17,12.33
334,Ashapuri Gold,13.17,12.33
335,Ashapuri Gold,13.17,12.33
336,Ashari Agencies,2.07,2.07
337,Ashiana Agro Inds,11.57,11.15
338,Ashiana Housing,307.15,380.2
339,Ashiana Ispat,38.51,43.3
340,Ashika Credit Capital,89.27,58.86
341,Ashima,21.05,24.35
342,Ashirwad Capital,5.93,6.51
343,Ashirwad Steels,43.36,56.03
344,Ashish Polyplast,28.02,29.84
345,Ashnisha Industries,8.08,7.14
346,Ashnoor Textile,50.28,52.0
347,Ashok Leyland,172.4,210.6
348,Ashoka Buildcon,188.75,181.85
349,Ashoka Metcast,25.9,20.9
350,Ashram Online Com,0.0,0.0
351,Ashtasidhhi Indus.,12.25,12.2
352,ASI Industries,0.0,0.0
353,Asia Capital,16.55,16.55
354,Asia Pack,49.5,51.6
355,Asian Energy Serv,298.15,293.8
356,Asian Granito India,64.75,62.0
357,Asian Hotels East,167.6,144.5
358,Asian Hotels North,129.35,140.15
359,Asian Hotels West,144.15,144.15
360,Asian Paints,2849.8,2816.35
361,Asian Petro Products,15.92,15.45
362,Asian Star Co,833.05,840.0
363,Asian Tea & Export,15.09,14.1
364,Asian Warehousing,37.3,60.1
365,Asin Food Prod,18.18,18.18
366,Asit C Mehta Fin,172.3,175.0
367,ASK Automotive,295.75,319.25
368,ASM Technologies,1064.8,1135.0
369,Aspinwall & Co,250.85,283.5
370,Aspira Pathlab,33.42,31.0
371,Assam Entrade,687.4,336.25
372,Assoc Alcohol & Brew,543.6,595.55
373,Associated Ceramics,1272.95,339.15
374,Astec Lifesciences,902.35,1167.9
375,Aster DM Healthcare,467.6,347.95
376,Astra Micro Wave,621.65,761.15
377,Astral,2108.95,2193.75
378,Astrazeneca Pharma,5450.2,5774.0
379,Astron Paper & Board,28.5,23.25
380,Asya Infosoft,3.61,3.61
381,Atal Realtech,17.1,8.75
382,Atal Realtech,17.1,8.75
383,Atam Valves,172.5,214.25
384,Atharv Enterprises,2.4,2.36
385,Athena Global Tech,99.8,87.5
386,Atishay,72.8,96.05
387,Atlantaa,24.5,32.0
388,Atlas Cycle(Haryana),28.85,28.85
389,Atlas Jewellery,9.27,9.27
390,Atul,6170.6,5974.3
391,Atul Auto,541.9,561.45
392,ATV Projects India,0.0,0.0
393,AU Small Fin Bank,578.0,624.3
394,Aurionpro Solutions,2199.65,2398.75
395,Auro Laboratories,159.15,236.0
396,Aurobindo Pharma,1076.95,1202.4
397,Auroma Coke,6.27,6.27
398,Aurum Proptech,142.55,151.3
399,Ausom Enterprise,91.0,102.15
400,Austin Engg Co,219.2,223.0
401,Authum Invstmnt,860.35,878.4
402,Auto Pins India,161.0,214.95
403,Autoline Industries,142.65,120.7
404,Autolite India,15.5,15.5
405,Automobile Corp Goa,0.0,0.0
406,Automotive Axles,2010.45,1983.85
407,Automotive Stamping,664.4,862.95
408,Autoriders Intl,34.79,75.79
409,Avadh Sugar & Energy,593.9,574.45
410,Available Finance,221.05,311.5
411,Avalon Technologies,528.05,489.45
412,Avance Technology,1.56,0.98
413,Avance Technology,1.56,0.98
414,Avance Technology,1.56,0.98
415,Avance Technology,1.56,0.98
416,Avance Technology,1.56,0.98
417,Avance Technology,1.56,0.98
418,Avance Technology,1.56,0.98
419,Avance Technology,1.56,0.98
420,Avance Technology,1.56,0.98
421,Avantel,113.05,119.0
422,Avantel,113.05,119.0
423,Avantel,113.05,119.0
424,Avantel,113.05,119.0
425,Avanti Feeds,529.15,537.8
426,Aveer Foods,499.0,486.3
427,Avenue Supermarts,3868.25,4670.65
428,AVG Logistics,629.7,539.75
429,AVI Polymers,12.4,10.5
430,AVI Products India,30.79,25.75
431,Aviva Industries,25.38,24.41
432,Avonmore Capital,105.0,137.6
433,Avro India,142.4,127.65
434,AVT Natural Prod,104.6,91.95
435,Axel Polymers,62.53,69.5
436,Axis Bank,1096.7,1143.75
437,Axiscades Tech,657.4,609.9
438,Axita Cotton,23.85,22.15
439,Axon Ventures,0.0,0.0
440,Axtel Industries,633.9,536.5
441,Aym Syntex,95.45,91.55
442,Azad Engineering,1334.35,1470.7
443,B & A,459.15,680.0
444,B & A Packaging,233.4,234.5
445,B & B Triplewall,277.15,262.0
446,B2B Software,33.88,33.96
447,Baba Arts,14.71,14.34
448,Bacil Pharma,10.5,21.9
449,Bafna Pharma,90.8,99.6
450,BAG Films & Media,10.6,8.8
451,Baid Leasing & Fin,26.65,22.15
452,Baid Leasing & Fin.,26.54,22.04
453,Bajaj Auto,8041.3,8813.85
454,Bajaj Consumer Care,238.95,241.7
455,Bajaj Electricals,1010.2,953.7
456,Bajaj Finance,6584.35,6738.0
457,Bajaj Finserv,1610.15,1587.5
458,Bajaj Healthcare,336.45,304.8
459,Bajaj Hindusthan Sugar,34.7,33.45
460,Bajaj Holdings,9047.65,8278.55
461,Bajaj Steel Industries,1228.1,1262.15
462,Bajel Projects,228.4,257.55
463,Bal Pharma,115.65,102.65
464,Balaji Amines,2227.4,2277.3
465,Balaji Telefilms,111.05,72.4
466,Balasore Alloys,0.0,0.0
467,Balaxi Pharma,573.65,654.6
468,Balgopal Commercial,38.53,37.0
469,Balkrishna Industries,2266.5,2797.75
470,Balkrishna Paper,37.35,23.1
471,Ballarpur Industries,0.85,0.85
472,Balmer Lawie Invst,641.2,902.45
473,Balmer Lawrie & Co,243.65,313.7
474,Balrampur Chini Mills,374.95,381.2
475,Balu Forge Inds,208.3,313.25
476,Balurghat Tech,0.0,0.0
477,Bambino Agro Inds,355.0,355.0
478,BAMPSL Securities,9.67,9.0
479,Banaras Beads,102.05,91.1
480,Banas Finance,17.44,10.97
481,Banco Products,671.0,598.4
482,Bandhan Bank,200.75,183.0
483,Bang Overseas,61.0,49.05
484,Bank of Baroda,271.85,262.5
485,Bank of India,137.5,124.4
486,Bank of Maharashtra,60.45,64.45
487,Banka BioLoo,116.0,106.8
488,Bannari Amman Mills,48.2,50.3
489,Bannari Amman Spinning Mills Limited - RE,23.35,23.35
490,Bannari Amman Sugars,2568.95,2524.55
491,Bansal Roofing,88.66,84.79
492,Banswara Syntex,159.5,152.2
493,Barak Valley Cem,61.95,56.05
494,Barbeque-Nation,587.8,538.9
495,Baroda Extrusion,4.03,5.21
496,Baroda Rayon,0.0,0.0
497,Baron Infotech,0.81,0.84
498,Bartronics India,4.25,4.25
499,Bartronics India,4.25,23.55
500,Bartronics India,22.25,4.25
501,Bartronics India,22.25,23.55
502,Basant Agro Tech,22.67,19.92
503,BASF India,3313.1,4632.5
504,Bata India,1435.4,1374.1
505,Batliboi,0.0,0.0
506,Bayer Cropscience,5684.9,5584.7
507,Bazel International,34.59,40.0
508,BBTC,1720.95,1552.9
509,BC Power Controls,4.45,4.45
510,BCC Fuba India,52.72,71.81
511,BCL Enterprises,1.25,1.09
512,BCL Industries,74.1,55.25
513,BCL Industries,74.1,55.25
514,BCL Industries,74.1,55.25
515,BCL Industries,74.1,55.25
516,BCPL Railway Infra,113.0,101.75
517,BDH Industries,0.0,0.0
518,Beardsell,42.1,44.5
519,Bedmutha Industries,263.35,231.6
520,Beekay Niryat,45.94,52.8
521,Beekay Steel Inds,642.05,610.0
522,Beeyu Overseas,2.76,6.43
523,Bella Casa Fashion,298.0,304.1
524,Bemco Hydraulics,970.0,1209.0
525,BEML,3208.2,4169.7
526,BEML Land Assets,278.25,256.45
527,Benares Hotels,9425.55,9007.0
528,Bengal & Assam Co,9650.3,8320.15
529,Bengal Tea & Fabrics,125.5,143.0
530,Berger Paints,593.15,494.2
531,Bervin Invstmnt,31.71,38.92
532,Beryl Drugs,37.87,36.9
533,Beryl Securities,36.02,26.18
534,Best Agrolife,1163.5,572.45
535,Best Eastern Hotel,19.72,18.37
536,Betex India,286.0,238.9
537,BF Investment,646.95,573.25
538,BF Utilities,955.25,926.5
539,BFFL,29.09,53.1
540,BFL Asset Finvest,22.07,18.4
541,BGFT,4.15,4.01
542,BGR Energy Systems,53.9,44.95
543,Bhagawati Oxygen,48.4,49.5
544,Bhageria Industries,190.1,170.0
545,Bhagiradha Chem,1787.2,177.8
546,Bhagwati Autocast,499.0,414.0
547,Bhagyanagar India,99.3,114.2
548,Bhagyanagar Prop,42.15,42.15
549,Bhakti Gems & Jewel,19.15,17.5
550,Bhandari Hosiery,9.95,7.95
551,Bhansali Engg Poly,97.35,99.4
552,Bharat Agri Fert,118.0,100.95
553,Bharat Agri Fert,118.0,100.95
554,Bharat Agri Fert,118.0,100.95
555,Bharat Agri Fert,118.0,100.95
556,Bharat Bhushan Fin,37.39,34.19
557,Bharat Bijlee,5943.3,3884.85
558,Bharat Dynamics,1846.0,2440.45
559,Bharat Electronics,206.75,258.8
560,Bharat Forge,1179.65,1490.05
561,Bharat Gears,123.75,112.75
562,Bharat Parenteral,1416.55,1546.95
563,Bharat Rasayan,9249.95,9794.0
564,Bharat Road Network,77.4,67.1
565,Bharat Seats,170.3,160.5
566,Bharat Wire Ropes,321.85,270.6
567,Bharti Airtel,1131.1,1347.75
568,Bhartiya Intl,341.3,433.1
569,Bhaskar Agro Chem,73.86,64.63
570,Bhatia Comms India,30.24,22.35
571,Bheema Cements,26.28,26.5
572,BHEL,235.9,310.35
573,Bhilwara Spinners,147.75,121.95
574,Bhilwara Tech Tex,46.2,37.0
575,Bhoruka Aluminium,0.42,0.42
576,Bhudevi Infra Proj,27.17,27.17
577,BIBCOL,33.27,30.59
578,Bigbloc Construction,240.0,246.7
579,Bihar Sponge Iron,0.0,0.0
580,Bijoy Hans,21.95,23.0
581,Bikaji Foods Inter.,522.4,544.95
582,BIL Energy Systems,0.6,0.6
583,Bilcare,71.31,63.49
584,Bimetal Bearings,0.0,0.0
585,Binani Industries,17.0,17.75
586,Binayak Tex Proc,887.3,1040.0
587,Binny,167.25,166.7
588,Binny Mills,219.0,208.05
589,Bio Green Papers,1.81,1.81
590,Biocon,276.95,304.55
591,Biofil Chem & Pharma,65.6,69.4
592,Biogen Pharmachem,1.27,1.12
593,Biopac India Corp,0.0,0.0
594,Birla Cable,296.5,240.45
595,Birla Corporation,1677.65,1487.35
596,Birla Precision,66.09,66.14
597,Birla Tyres,5.3,5.3
598,Birlasoft,787.25,614.15
599,Bisil Plast,2.37,2.42
600,BITS,3.79,2.9
601,BKM Industries,2.4,1.8
602,BKV Industries,14.0,14.25
603,BL Kashyap & Sons,77.65,64.45
604,Black Bo,274.15,246.85
605,Black Rose Inds,142.15,127.3
606,BLB,50.0,20.15
607,Bliss GVS Pharma,126.0,110.4
608,Bloom Dekor,10.45,12.19
609,Bloom Industries,32.6,25.55
610,BLS E-Services,380.15,277.55
611,BLS Infotech,4.82,3.64
612,BLS Intl Serv,370.8,318.3
613,Blue Chip India,3.35,3.45
614,Blue Chip Tex Inds,194.45,169.0
615,Blue Cloud Softech,59.67,77.73
616,Blue Coast Hotels,9.5,9.25
617,Blue Dart Express,5999.55,7159.0
618,Blue Jet Healthcare,349.15,367.85
619,Blue Pearl Texspin,42.13,44.23
620,Blue Star,1316.2,1593.25
621,Blueblood Ventures,11.07,11.07
622,BMW Industries,61.8,63.84
623,BN Holdings,202.9,175.0
624,BN Rathi Security,119.3,99.65
625,BNR Udyog,65.75,63.0
626,Bodal Chemicals,91.6,73.75
627,Bodhi Tree MM,188.65,17.5
628,Bodhi Tree MM,188.65,17.5
629,Bodhtree Consulting,0.0,0.0
630,Bombay Cycle & Motor,1699.8,2419.95
631,Bombay Dyeing,185.25,186.45
632,Bombay Hybrid Seeds,226.85,213.0
633,Bombay Oxygen Invst,19366.0,19002.0
634,Bombay Rayon Fashion,2.0,2.0
635,Bombay Talkies,3.35,5.55
636,Bombay Wire Ropes,49.74,63.0
637,Bonlon Industries,43.48,39.7
638,Borosil,388.15,365.65
639,Borosil Renewables,563.3,503.25
640,Bosch,29037.75,30779.3
641,BP Capital,4.89,5.01
642,BPCL,625.2,629.0
643,BPL,99.8,107.7
644,Brady & Morris Engg,755.5,967.75
645,Brahmaputra Infra,74.5,83.14
646,Brand Concepts,739.25,749.1
647,Brawn Biotech,24.0,27.47
648,Bridge Securites,19.28,23.48
649,Brigade Enterprise,1004.95,1195.3
650,Bright Brothers,0.0,0.0
651,Brightcom Group,18.05,10.55
652,Brijlaxmi Leasing,8.92,8.58
653,Brilliant Portfolios,6.98,6.98
654,Brisk Technovision,156.65,147.0
655,Britannia Industries,4922.55,5096.05
656,Bronze Infra-Tech,1.02,1.1
657,Brooks Labs,122.85,90.45
658,BSE,2352.45,2794.25
659,BSEL Algo,1.4,1.4
660,BSL,191.75,181.6
661,Burnpur Cement,6.95,6.2
662,Butterfly Appliances,912.15,793.0
663,Byke Hospitality,71.9,74.4
664,Calcom Vision,159.8,138.25
665,California Software,18.45,15.7
666,Cambridge Tech,111.6,86.0
667,Camex,42.32,46.53
668,Camlin Fine Sciences,120.25,100.0
669,Campus Active,247.2,256.45
670,CAMS,3120.15,3316.95
671,Can Fin Homes,790.45,758.35
672,Canara Bank,586.75,114.5
673,Candour Techtex,49.0,37.98
674,Canopy Finance,94.53,84.19
675,Cantabil Retail,230.95,213.4
676,Cantabil Retail,230.95,213.4
677,Cantabil Retail,230.95,213.4
678,Cantabil Retail,230.95,213.4
679,Capacite Infra,271.4,299.6
680,Capfin India,628.1,181.4
681,Capital India Finance,143.1,125.0
682,Capital Small Fin.,373.35,343.4
683,Capital Trust,130.35,123.95
684,Caplin Point Labs,1542.1,1314.95
685,Capri Global Capital,979.45,226.5
686,Capri Global Capital,979.45,226.5
687,Capricorn Systems,12.1,10.18
688,Caprihans India,0.0,0.0
689,Caprolactam Chem,57.29,48.3
690,Captain Pipes,18.4,20.2
691,Captain Polyplast,51.29,56.94
692,Carborundum Univ,1096.1,1755.7
693,CARE Ratings,1166.6,1106.1
694,Career Point,251.55,422.85
695,Carnation Industries,7.92,10.45
696,Cartrade Tech,781.85,901.0
697,Carysil,957.7,937.25
698,Caspian,51.93,59.06
699,Castex Tech,0.64,0.64
700,Castrol India,214.25,195.05
701,Cat Technologies,0.76,0.76
702,Catvision,23.4,20.76
703,CCL,75.92,76.15
704,CCL International,31.57,24.7
705,CCL Products India,629.15,568.5
706,CDG Petchem,49.93,43.7
707,CDSL,1929.6,2114.15
708,CE Info Systems,1818.0,2036.8
709,CEAT,2847.2,2439.8
710,CEC,0.0,0.0
711,Ceejay Finance,201.0,195.25
712,Ceenik Exports,0.0,0.0
713,Ceeta Industries,34.99,39.1
714,Ceinsys Tech,593.4,548.9
715,Celebrity Fashion,16.7,20.2
716,Cello World,847.7,942.2
717,Cenlub Industries,480.25,414.0
718,Centenial Surgical,105.0,103.75
719,Centerac Tech,3.05,3.05
720,Central Bank of India,63.65,62.15
721,Centrum Capital,34.15,43.8
722,Centum Electronics,1870.75,1907.75
723,Century Enka,452.55,605.55
724,Century Extrusions,23.05,19.4
725,Century Plyboard,716.55,677.35
726,Century Textiles,1459.35,2178.35
727,Cera Sanitaryware,7527.95,7193.45
728,Cerebra Intg Tech,7.8,7.05
729,CES,0.44,0.44
730,CESC,127.85,147.3
731,CG Power & Inds,472.85,663.35
732,Cg Vak,402.15,365.0
733,Chalet Hotels,818.55,798.45
734,Challani Capital,18.42,15.45
735,Chaman L S Exports,238.15,225.95
736,Chambal Breweries,8.61,8.0
737,Chambal Fertilisers,353.55,400.75
738,Chandni Machines,39.0,55.3
739,Chandra Prabhu Intl,30.92,28.93
740,Chandra Prabhu Intl,30.92,28.93
741,Chandra Prabhu Intl,30.92,28.93
742,Chandra Prabhu Intl,30.92,28.93
743,Chandrima Mercantiles,9.81,12.14
744,Charms Industries,6.47,6.45
745,Chartered,6.67,10.85
746,Chartered Cap,240.0,236.65
747,CHD Chemicals,7.09,7.27
748,Chembond Chemicals,507.9,588.45
749,Chemcon Speciality,276.1,259.95
750,Chemcrux Enterprises,296.7,245.5
751,Chemfab Alkalis,570.25,615.0
752,Chemiesynth (Vapi),21.0,34.14
753,Chemo Pharma Labs,71.96,80.68
754,Chemplast Sanmar,484.1,492.2
755,Chemtech Valves,123.0,174.15
756,Chennai Ferrous,127.0,125.65
757,Chennai Meenakshi,39.9,33.55
758,Chennai Petro Corp,908.7,897.95
759,Cheviot Co,1360.6,1322.3
760,CHL,37.38,35.0
761,Choice Intl,278.65,341.05
762,Choksi Imaging,66.05,72.0
763,Choksi Laboratories,61.3,61.5
764,Cholamandalam Fin,1065.85,1122.4
765,Cholamandalam Invest,1098.4,1281.85
766,Chordia Food Prods,90.0,91.98
767,Chowgule Steamship,0.0,0.0
768,Chromatic India,0.9,0.9
769,Chrome Silicon,38.87,41.86
770,Cian Agro Inds,41.2,45.5
771,CIE Automotive India,447.65,495.2
772,Cigniti Technologies,1055.55,1313.1
773,CIL Nova Petrochem,16.05,16.05
774,CIL Securities,55.9,56.0
775,Cimmco,0.0,0.0
776,Cindrella Fin Serv,18.43,14.15
777,Cindrella Hotels,58.87,54.86
778,Cineline India,125.0,121.4
779,Cinerad Comm,37.26,64.29
780,Cinevista,21.2,19.0
781,Cipla,1482.3,1404.05
782,Cistro Telelink,0.6,0.64
783,Citadel Realty,30.42,39.45
784,Citi Port Fin Serv,17.17,15.87
785,Citizen Infoline,38.3,36.2
786,City Union Bank,138.2,153.1
787,Cityman,16.0,25.2
788,CJ Gelatine Prod,22.09,19.0
789,CL Educate,88.35,77.65
790,Classic Filaments,35.3,39.5
791,Classic Global Fin,0.7,0.97
792,Classic Leasing,19.78,14.69
793,Clean Science,1417.55,1338.6
794,Clio Infotech,5.8,4.67
795,CMI,7.3,5.25
796,CMS Info Systems,401.85,424.25
797,CNI Research,3.26,6.5
798,Coal India,448.5,469.7
799,Coastal Corporation,294.85,244.75
800,Cochin Malabar,129.4,123.0
801,Cochin Minerals,308.6,299.0
802,Cochin Shipyard,872.35,1484.15
803,Cochin Shipyard,872.35,1484.15
804,Cochin Shipyard,872.35,1484.15
805,Cochin Shipyard,872.35,1484.15
806,Coffee Day Entr,56.95,60.95
807,Coforge,6505.15,4729.6
808,Colab Cloud Platform,168.6,18.0
809,Colab Cloud Platform,168.6,18.0
810,Colgate-Palmolive,2524.05,2691.7
811,Colinz Laboratories,39.44,44.81
812,Colorchips Media,5.38,4.1
813,Comfort Commotrade,25.29,24.2
814,Comfort Fincap,10.48,9.05
815,Comfort Fincap,10.48,9.05
816,Comfort Fincap,10.48,9.05
817,Comfort Fincap,10.48,9.05
818,Comfort Intech,11.6,9.59
819,Comfort Intech,11.6,9.59
820,Comfort Intech,11.6,9.59
821,Comfort Intech,11.6,9.59
822,Competent Auto,479.35,589.0
823,Compuage Infocom,7.3,4.35
824,Compucom Software,31.0,34.35
825,Computer Point,4.68,5.03
826,COMSYN,81.0,70.05
827,Conart Engineers,118.85,120.0
828,Concord Biotech,1469.4,1492.45
829,Concord Drugs,38.2,39.5
830,Concrete Credit,3.05,3.01
831,Confidence Futuristic,126.6,109.9
832,Confidence Petro,110.15,85.4
833,Consecutive Invest,39.62,39.62
834,Consolidated Const,1.5,1.5
835,Consolidated Finvest,268.6,227.8
836,Constronics Infra,32.46,61.81
837,Container Corp,981.35,1100.9
838,Containerway Intl,9.82,10.82
839,Contil India,133.8,162.0
840,Continental Controls,6.21,13.8
841,Continental Petro,98.0,91.21
842,Continental Secs,9.61,8.85
843,Continental Secs,9.61,8.85
844,Continental Secs,9.61,8.85
845,Continental Secs,9.61,8.85
846,Control Print,925.25,898.95
847,Coral India Finance,53.15,43.95
848,Coral Labs,358.0,370.95
849,Coral Newsprints,9.89,13.28
850,Cords Cable Inds,181.6,228.1
851,Coromandel Intl,1081.25,1250.4
852,Corporate Courier,3.13,2.98
853,Corporate Merchant,16.63,16.63
854,Cosboard Inds,2.3,2.3
855,COSCO India,273.1,345.0
856,Cosmo Ferrites,215.8,198.7
857,Cosmo First,527.05,604.15
858,COSYN,40.91,41.98
859,Country Club,15.2,15.65
860,Country Condo's,5.75,6.25
861,Coventry CoilO Matic,1.58,1.58
862,Covidh Tech,1.94,2.03
863,Cox & Kings Fin.Serv,0.35,0.35
864,Craftsman Automation,4288.2,4446.9
865,Crane Infra,25.69,18.8
866,Cranes Software,0.0,0.0
867,Cranex,59.98,91.75
868,Cravatex,466.95,447.95
869,Creative Castings,744.95,760.0
870,Creative Eye,4.65,6.05
871,Creative Peripherals,751.15,781.25
872,CreditAccess Grameen,1481.55,1424.6
873,Credo Brands Mktg,233.8,177.3
874,Cressanda Railway,21.38,12.54
875,Crest Ventures,445.1,395.5
876,Crestchem,128.5,114.5
877,CRISIL,4939.7,4435.9
878,Crompton Greaves,301.1,401.95
879,Cropster Agro,621.85,490.0
880,Crown Lifters,179.35,209.8
881,CSB Bank,357.6,346.0
882,CSL Finance,459.3,413.65
883,CTL,46.85,40.48
884,Cubex Tubings,90.9,107.2
885,Cubical Fin Serv,1.68,1.68
886,Cummins India,2736.65,3872.85
887,Cupid,2693.5,96.45
888,CWD Ltd,900.0,753.0
889,Cybele Industries,39.3,43.5
890,Cyber Media India,25.2,24.35
891,Cybermate Infotek,4.63,4.14
892,Cybertech Systems,165.4,155.7
893,Cyient,2032.8,1778.0
894,Cyient DLM,816.75,689.75
895,D & H India,96.95,122.25
896,D Link (India),304.8,416.9
897,Dabur India,538.6,540.0
898,Dai Ichi Karkaria,0.0,0.0
899,Daikaffil Chemical,99.3,103.4
900,Dalal Street Invst,524.15,471.0
901,Dalmia Bharat,2065.3,1818.95
902,Dalmia Bharat Inds,388.7,384.7
903,Damodar Industries,55.65,49.1
904,Dangee Dums,11.65,8.4
905,Danlaw Technologies,2004.6,1674.5
906,Danube Industries,6.95,5.54
907,Darjeeling Ropeway,5.55,5.15
908,Darshan Orna,4.75,3.93
909,Data Patterns (I),2796.05,3321.05
910,Datamatics Global,602.65,598.3
911,Datasoft Software,15.99,34.93
912,Daulat Securities,32.95,43.3
913,Davangere Sugar Co,106.5,100.35
914,DB Corp,288.2,279.0
915,DB Realty,269.25,
916,DB Stock Brokers,47.8,60.4
917,DC Infotech & Comm,221.7,217.95
918,DCB Bank,131.45,131.85
919,DCM,83.85,74.5
